OBJECTID,LOCATION,FORMAL_NAME,LOC_CODE,PARK_TYPE,PARK_CLASS,GIS_ACRES,DESIGNATED,FIRST_AQ_DATE,MASTER_PLAN,MAINT_DIST,COUNCIL_DIST,POLICE_DIST,CROSS_STREETS,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,LATITUDE,LONGITUDE,MARKETING_CODE,FACILITIES,DIAGRAM,PHOTO,PARCEL_MATCH,BND_QC,GLOBALID,Shape__Area,Shape__Length
71,51st & Zuni,Unnamed 51st & Zuni Park,009,Park,Neighborhood,12.7957782,Yes - 2014,2001,None,NW,1,1,51St Av & Zuni St,24545,5100 N Zuni St,,Denver,CO,,39.78969163,-105.01468425,PK,"Benches, Picnic Tables, Playground, Baseball / Softball Field, Basketball Court, Picnic Shelter, Drinking Fountain, Bike/Pedestrian Path, Picnic Area, Fitness Equipment",ParkArt_Unnamed 51st and Zuni Park.pdf,51stzunipark.jpg,Yes,11/20/2008 12:00:00 AM,c47b34cb-381a-4da8-9d82-261ff4867326,557381.869140625,3249.5939650488
72,Bezoff,Bezoff (Ben) Park,624,Park,Neighborhood,5.33513041,Yes,1972,None,NE,5,3,Exposition Av & Fulton St,134303,600 S Fulton St,,Denver,CO,,39.70492007,-104.86966413,PK,"Picnic Tables, Playground, Basketball Court, Baseball / Softball Field, Benches, Bike/Pedestrian Path",ParkArt_Bezoff (Ben) Park.pdf,bezoffpark.jpg,Yes,12/12/2008 12:00:00 AM,46ae7c44-6942-4b82-a487-9902e0903073,232397.352050781,1879.18666370217
73,Vanderbilt,Vanderbilt Park,835,Park,Community,23.7865636,Yes - 1956,1922,None,SW,7,4,Platte River Dr & Tennessee Av,90650,855 S Platte River Dr,,Denver,CO,,39.70049371,-104.99552616,PK,"Restroom, Bike/Pedestrian Path, Baseball / Softball Field, Bleachers, Lake, Natural Areas, Benches, Picnic Tables",ParkArt_Vanderbilt Park.pdf,vanderbiltpark.jpg,No,11/17/2020 12:00:00 AM,21bbe9fb-dc0a-4b12-ac7a-794172a6d18d,1036138.56982422,4674.13314920132
74,Goldsmith Gulch (North Middle),Goldsmith Gulch North Middle,610,Open Space,Open Space,4.47175506,No,1967,None,E,4,3,Goldsmith Gulch I-225 To Quincy St,357000,8100 E Quincy Ave,,Denver,CO,,39.63776456,-104.89371892,,"Open Space, Natural Areas, Prairie Dog Habitat",ParkArt_Goldsmith Gulch North Middle.pdf,no_imagerec.gif,Yes,7/17/2009 12:00:00 AM,cb6eb39e-2d08-49ee-9414-d6898ae0b0f5,194788.87890625,2133.71714835187
75,Stanford & Balsam,Unnamed Stanford & Balsam Park,181,Open Space,Open Space,10.18935107,Yes - 2020,1989,None,SW,2,4,Stanford Av & Balsam Way,,8600 W Stanford Ave,,Denver,CO,,39.63477548,-105.09213829,PK,"Playground, Bike/Pedestrian Path, Benches, Natural Areas",ParkArt_Unnamed Stanford and Balsam Park.pdf,southwestautopark.jpg,Yes,8/31/2009 12:00:00 AM,bc696945-24dc-4f7e-97a6-d76017f8e3d8,443846.355957031,5306.06165036445
76,Quebec & Wesley,Unnamed Quebec & Wesley Park,619,Park,Pocket,0.58050355,No,1974,None,E,4,3,Quebec St & Wesley Av,351567,7200 E Warren Dr,,Denver,CO,,39.67467856,-104.90429729,PK,Passive Open Space,ParkArt_Quebec and Wesley.pdf,no_imagerec.gif,Yes,8/19/2009 12:00:00 AM,620561d9-497e-4162-9671-1035846a6196,25286.634765625,1112.60445280783
77,Overland Municipal Golf Course,Overland Municipal Golf Course,GO1,Golf,Golf,139.13654798,Yes - 1956,1919,N/A,SW,7,4,Florida Av & Sante Fe Dr,104787,1801 S Huron St,,Denver,CO,,39.68527682,-104.99668448,,Golf Course,OverlandGolfCourse.pdf,,Yes,1/1/2014 12:00:00 AM,0fb1e5a3-2944-4b33-a588-f99894a3ab06,6060763.78076172,10533.5221230793
79,City Park,City Park,201,Park,Regional,314.43504324,Yes - 1956,1881,2018,E,9,2,17th Av & York St,,2100 Steele St,,Denver,CO,,39.74745776,-104.95018342,PK,"Benches, Drinking Fountain, Picnic Tables, Playground, Flower Beds, Walking/Jogging Path, Interactive Fountain, Lake, Baseball / Softball Field, Handball Court, Soccer Field, Football Field, Tennis Court, Horseshoe Pits, Museum, Zoo, Picnic Area",ParkArt_City Park.pdf,citypark.jpg,Yes,2/4/2009 12:00:00 AM,715e4a66-02ef-403c-941c-4b57aff2f09b,13696735.6982422,15710.7136545772
80,Franco,Franco (Bernabe Indio) Park,022,Park,Pocket,0.57395126,Yes,1969,None,NW,1,1,37th Av & Lipan St,356962,3700 N Lipan St,,Denver,CO,,39.7684143,-105.00142997,PK,"Picnic Tables, Playground, Basketball Court",ParkArt_Franco (Bernabe Indio) Park.pdf,francopark.jpg,Yes,3/11/2009 12:00:00 AM,26113fc8-a45b-458d-af7b-d4046212d9da,25001.216796875,650.1985750567
81,Russell Square,Russell Square Park,206,Park,Neighborhood,2.27831967,Yes - 1956,1911,None,NW,9,2,36th Av & Vine St,,3600 N Vine St,,Denver,CO,,39.76755108,-104.9615834,PK,"Drinking Fountain, Benches, Picnic Tables, Playground, Horseshoe Pits",ParkArt_Russell Square Park.pdf,russellsquarepark.jpg,Yes,2/4/2009 12:00:00 AM,8b981c0f-d23b-4acf-b544-0ffbc7073439,99243.20703125,1278.91488381512
82,City of Nairobi,City of Nairobi Park,217,Park,Neighborhood,2.26967671,Yes - 1956,1911,None,NW,9,2,35th Av & Cook St,356804,3500 N Cook St,,Denver,CO,,39.76634461,-104.94685422,PK,"Benches, Picnic Tables, Playground, Drinking Fountain, Baseball / Softball Field",ParkArt_City of Nairobi Park.pdf,nairobipark.jpg,Yes,2/4/2009 12:00:00 AM,22eb4651-fe0e-47f9-be06-15a1ffbf39a0,98866.72265625,1277.15694224039
83,Skyland,Skyland Park,429,Park,Neighborhood,8.11840344,Yes - 1956,1952,None,NE,8,2,33rd Av & Holly St,158754,3334 N Holly St,,Denver,CO,,39.76471342,-104.92112076,PK,"Recreation Center, Benches, Playground, Basketball Court, Football Field, Baseball / Softball Field, Tennis Court, Bike/Pedestrian Path",ParkArt_Skyland Park.pdf,skylandpark.jpg,Yes,11/25/2008 12:00:00 AM,8c30be06-fa54-4d92-8653-537f87cd7c48,353636.240234375,2385.11715356268
84,City of Axum,City of Axum Park,417,Park,Neighborhood,5.08987922,Yes - 1956,1908,2008,NE,8,2,32nd Av & Cherry St,15562,3200 N Birch St,,Denver,CO,,39.76323047,-104.93498828,PK,"Drinking Fountain, Picnic Tables, Picnic Shelter, Playground, Restroom, Basketball Court, Benches, Walking/Jogging Path, Picnic Area",ParkArt_City of Axum Park.pdf,axumpark.jpg,Yes,11/25/2008 12:00:00 AM,29b056ac-e05e-449d-bdf3-780502e7530e,221714.251953125,2199.02688964252
85,Pferdesteller,Pferdesteller Park,017,Park,Neighborhood,3.0126438,Yes - 1956,1948,None,NW,1,1,33rd Av & Yates St,271639,4815 W Moncrieff Pl,,Denver,CO,,39.76345709,-105.04973106,PK,"Drinking Fountain, Benches, Picnic Tables, Playground, Restroom, Basketball Court, Soccer Field, Picnic Area",ParkArt_Pferdesteller Park.pdf,pferdestellerpark.jpg,Yes,2/26/2009 12:00:00 AM,5fa786d8-d512-42d4-8d22-28b6c5ff5b79,131230.23828125,1506.00273184846
87,Rude,Rude Park,024,Park,Neighborhood,10.43752186,Yes - 1956,1912,None,NW,3,1,13th Av & Decatur St,69561,2855 W Holden Pl,,Denver,CO,,39.73661357,-105.02330674,PK,"Recreation Center, Drinking Fountain, Restroom, Football Field, Baseball / Softball Field, Picnic Tables, Bleachers, Bike/Pedestrian Path, Lakewood Gulch Trail",ParkArt_Rude Park.pdf,rudepark.jpg,No,2/9/2009 12:00:00 AM,92925640-23a4-4bc7-b5ea-a1f0cbd74b73,454656.634765625,3047.40370710751
88,Highland Gateway,Highland Gateway Park,046,Park,Pocket,0.88611491,No,1994,None,NW,1,1,32nd Av & Pecos St,45317,2533 19th St,,Denver,CO,,39.76185988,-105.00620155,PK,"Picnic Tables, Playground, Basketball Court, Benches",ParkArt_Highland Gateway Park.pdf,highlandgatewaypark.jpg,No,3/11/2009 12:00:00 AM,f41c97cc-276c-464f-a786-87528448ba9f,38599.0092773438,1002.91763236716
89,McClain,McClain (Thomas Ernest) Park,463,Park,Pocket,0.32565004,Yes,1983,None,NE,8,2,Martin Luther King Jr Blvd & Quebec St,,3099 N Quebec St,,Denver,CO,,39.76121983,-104.90380174,,"Bike/Pedestrian Path, Picnic Tables",ParkArt_McClain (Thomas Ernest) Park.pdf,no_imagerec.gif,Yes,2/26/2009 12:00:00 AM,f8de2625-8259-4712-9ded-48a94ea2f73d,14185.2592773438,488.812486698351
91,Sloan's Lake,Sloan's Lake Park,019,Park,Regional,284.15312001,Yes - 1956,1906,2002,NW,1,1,17th Av & Sheridan Blvd,51687,1700 N Sheridan Blvd,,Denver,CO,,39.74825333,-105.0461709,PK,"Drinking Fountain, Picnic Tables, Picnic Shelter, Playground, Pump Track, Restroom, Basketball Court, Bike/Pedestrian Path, Football Field, Soccer Field, Baseball / Softball Field, Tennis Court, Lake, Boating, Flower Beds, Picnic Area",ParkArt_Sloan's Lake Park.pdf,sloanslakepark.jpg,No,5/19/2009 12:00:00 AM,988a1cb0-bdb5-4875-83f8-f4bfa2f85872,12377660.3955078,17431.5059335149
95,Ford,Ford (Barney L) Park,538,Park,Neighborhood,4.36318333,Yes,1971,None,NE,11,5,Maxwell St & Sable St,356961,14480 E Maxwell Pl,,Denver,CO,,39.79179241,-104.81720458,PK,"Benches, Picnic Tables, Soccer Field",ParkArt_Ford (Barney L) Park.pdf,wallacepark.jpg,Yes,11/25/2008 12:00:00 AM,7dd017ca-fdbd-4883-8a0f-57f5aa56f62c,190059.507324219,2046.01257073951
96,Hallack,Hallack Park,018,Park,Neighborhood,2.97513366,Yes - 1956,1916,None,NW,1,1,20th Av & Irving St,356986,1900 N Julian St,,Denver,CO,,39.74697827,-105.03073141,PK,"Picnic Tables, Playground, Soccer Field, Benches",ParkArt_Hallack Park.pdf,halleckpark.jpg,Yes,11/7/2008 12:00:00 AM,6969d5fc-b6c1-4914-aa92-1a3a498012fc,129596.303710938,1439.99828887828
97,McNichols,McNichols (William H) Park,L11,Park,Neighborhood,3.26388498,Yes - 1956,1950,None,NE,8,2,17th Av & Syracuse St,356591,1700 N Rosemary St,,Denver,CO,,39.74471184,-104.89935554,PK,"Picnic Tables, Playground, Football Field, Baseball / Softball Field, Benches, Bike/Pedestrian Path, Picnic Area",ParkArt_McNichols (William H) Park.pdf,mcnicholspark.jpg,Yes,12/2/2008 12:00:00 AM,e5ddde01-50b8-4a62-823c-31feb726e92b,142174.26171875,1667.98921867408
100,Community Plaza,Community Plaza Park,042,Park,Pocket,0.95158396,Partial - 1956,1908,None,NW,1,1,33rd Av & Osage St,356858,3250 N Osage St,,Denver,CO,,39.76270257,-105.0048538,PK,"Plaza, Benches",ParkArt_Community Plaza Park.pdf,communityplazapark.jpg,No,3/24/2009 12:00:00 AM,98562d46-fd7b-4266-8a97-f5d8faf3b556,41450.8330078125,1306.53178622731
102,Confluence,Confluence Park,903,Park,Neighborhood,2.9261729,No,1976,2014,Downtown,1/3,6,Cherry Creek & Platte River,356876,2250 15th St,,Denver,CO,,39.75422173,-105.00850831,PK,"Bike/Pedestrian Path, South Platte River Trail, Cherry Creek Trail, Kayak Course, Benches, Flower Beds, Shoemaker Plaza",ParkArt_Confluence Park.pdf,confluencepark.jpg,No,3/11/2009 12:00:00 AM,40e31622-0a0d-4f44-a073-c02d738810de,127463.574152946,2851.24116447727
104,Skatepark,Denver Skate Park,924,Park,Special Use,1.91477126,Yes - 1993,1993,1999,Downtown,1,6,19th St & Little Raven St,166452,2205 19th St,,Denver,CO,,39.75955679,-105.00276142,PK,"Benches, Skate Park, Picnic Shelter, Picnic Tables, Drinking Fountain",ParkArt_Denver Skate Park.pdf,skatepark.jpg,No,3/11/2009 12:00:00 AM,6524c674-f5c1-4831-9aa6-e7c23b6c417b,83407.1030961275,1236.2164877861
106,Highland Senior Center ,Highland Senior Center Park,034,Park,Neighborhood,1.86247264,Partial - 2014,1977,None,NW,1,1,29th Av & Osceola St,263325,2880 N Osceola St,,Denver,CO,,39.75818269,-105.03718529,PK,"Recreation / Senior Center, Playground, Picnic Shelter, Picnic Tables, Horseshoe Pits",ParkArt_Highland Senior Center Park.pdf,highlandpark.jpg,Yes,11/20/2008 12:00:00 AM,020b39a4-1576-41a4-b4b0-a2eabb1b8ead,81128.9838867188,1276.34647523223
108,Cheesman Esplanade,Cheesman Park Esplanade,313,Park,Neighborhood,2.66053438,Yes - 1956,1911,2008,E,5,6,7th Av & Williams St,356740,750 N Williams St,,Denver,CO,,39.72819308,-104.96529818,PK,Passive Open Space,ParkArt_Cheesman Park Esplanade.pdf,cheesmanpark.jpg,Yes,1/21/2009 12:00:00 AM,e551bb0d-a2d7-450d-a187-b0e2afa237d4,115892.4140625,1544.58977144077
110,Carpio Sanguinette,Carpio Sanguinette Park,912,Park,Neighborhood,15.53766505,No,1998,2017,NW,9,2,51st Ave & Downing St,,1400 E 53rd Ave,,Denver,CO,,39.79025579,-104.97236722,PK,"Bike/Pedestrian Path, Soccer Field, Drinking Fountain, South Platte River Trail",ParkArt_Carpio Sanguinette Park.pdf,northsidepark.jpg,No,6/21/2019 12:00:00 AM,87c3d5e9-c4f1-4a0e-a806-f86aab76b305,676817.98182945,4029.4185216226
112,St Charles Pl,St. Charles Place Park,207,Park,Neighborhood,2.45572497,Partial - 1956,1911,None,NW,9,2,38th Av & Lafayette St,40021,3777 N Lafayette St,,Denver,CO,,39.76957454,-104.97112646,PK,"Recreation Center, Benches, Picnic Tables, Playground, Basketball Court, Parking Lot",ParkArt_St. Charles Place Park.pdf,stcharlespark.jpg,No,7/29/2009 12:00:00 AM,a4e53300-c663-489e-a405-c1509ec2b9e5,106970.953125,1882.08472738625
113,Robinson,Robinson Park,414,Park,Neighborhood,6.79145519,Yes - 1956,1941,None,E,5,3,3rd Av & Fairfax St,264359,200 N Fairfax St,,Denver,CO,,39.72020352,-104.92692905,PK,"Drinking Fountain, Benches, Picnic Tables, Playground, Restroom, Basketball Court, Football Field, Baseball / Softball FIeld, Bleachers, Picnic Area",ParkArt_Robinson Park.pdf,robinsonpark.jpg,Yes,12/2/2008 12:00:00 AM,3675d895-f447-44f1-94e0-bd5d41ffc316,295834.603515625,2183.81861462956
114,City of Chennai,City of Chennai Park,660,Park,Neighborhood,8.08316134,Yes,1977,None,E,6,3,Cherry Creek & Quebec St,356780,1600 S Quebec St,,Denver,CO,,39.68652829,-104.90212166,PK,"Benches, Bike/Pedestrian Path, Natural Areas",ParkArt_City of Chennai Park.pdf,citychenniapark.jpg,Yes,12/12/2008 12:00:00 AM,28edd7b5-2995-4fc0-ada6-c0aa947c87df,352101.100585938,2331.82524311255
115,Cheesman,Cheesman Park,312,Park,Regional,80.76481446,Yes - 1956,1890,2008,E,10,6,8th Av & Franklin St,356584,1599 E 8th Ave,,Denver,CO,,39.73278794,-104.96645337,PK,"Benches, Drinking Fountain, Pavilion, Picnic Tables, Playground, Flower Beds, Fountain, Jogging Path, Bike/Pedestrian Path, Shelter, Scenic Views, Picnic Area",ParkArt_Cheesman Park.pdf,cheesmanpark.jpg,Yes,1/21/2009 12:00:00 AM,2eef1ebe-6f8b-424f-bc54-d840c72a0e30,3518101.24511719,7977.99595884973
116,Buchtel Centennial,Buchtel Centennial Park,710,Park,Pocket,0.39148893,Yes,1927,None,SW,6,3,Buchtel Blvd & Josephine St,356728,1890 S Josephine St,,Denver,CO,,39.68210794,-104.95727456,PK,"Passive Open Space, Memorial / Monument",ParkArt_Buchtel Centennial Park.pdf,buchtelcentennialpark.jpg,No,10/3/2017 12:00:00 AM,00422943-415f-424d-b615-1d1bfd95b54a,17053.189453125,828.613453215854
117,Silverman,Silverman (Melvin F) Park,534,Park,Neighborhood,8.99358866,Yes,1966,None,NE,8,5,Andrews Dr & Titan Ct,9157,12875 E Andrews Dr,,Denver,CO,,39.78582173,-104.84029108,PK,"Benches, Picnic Shelter, Picnic Tables, Playground, Restroom, Drinking Fountain, Basketball Court, Football Field, Bike/Pedestrian Path, Picnic Area, Fitness Equipment",ParkArt_Silverman (Melvin F) Park.pdf,silvermanpark.jpg,Yes,11/25/2008 12:00:00 AM,1e8d886d-80a7-4680-9039-e2a99d1a21e8,391759.153320313,2509.32370616832
118,Bergen ,Bergen Park,M04,Park,Mountain,21.22482966,Yes,1917,2008,MP,None,None,,,1450 Old Highway 74,,Evergreen,CO,80439,39.68988123,-105.36199398,MP,"Picnic Shelter, Picnic Area, Tables, Grills, Restroom, Volleyball Court, Horseshoe Pits, Trail Connections: Pioneer Trail, Buchanan Park Trail, Historic Stone Wellhouse",Bergen_ParkMap.pdf,bergenmtnpark.jpg,,5/14/2010 12:00:00 AM,bf82d045-58ce-453c-9ff6-1537078259f1,924549.882324219,5669.49002031015
119,Flying J. Ranch,Flying J. Ranch Tracts,M24,Conservation Tract,Mountain,77.09479789,Yes,1926,2008,MP,None,None,,,,,,CO,,39.54648468,-105.32991031,CA,Conservation Area.  No Public Access., ,flyingjranchpark.jpg,,5/21/2010 12:00:00 AM,286b0d78-daa9-45b9-ac97-32eb9e018f96,3358235.96435547,10371.6159466583
120,Legault Mountain,Legault Mountain Tracts,M30,Conservation Tract,Mountain,134.79023546,Yes,1924,2008,MP,None,None,,,,,,CO,,39.53169753,-105.25038915,CA,Conservation Area.  No Public Access., ,no_imagerec.gif,,5/14/2010 12:00:00 AM,06dd96dd-5fc0-43db-9ed4-01d7bde1983d,5871439.17041016,17367.2350874457
121,Deer Creek,Deer Creek Tract,M16,Conservation Tract,Mountain,88.7912705,Yes,1925,2008,MP,None,None,,,13200 Deer Creek Canyon Road,,Littleton,CO,80127,39.54744533,-105.13932699,CA,Conservation Area.  No Public Access., ,deercreekpark.jpg,,5/14/2010 12:00:00 AM,bd317fd0-81d4-4217-81c4-8d06ff3cc733,3867732.27294922,20947.5940041784
122,Diamond Hill,Diamond Hill Promenade,053,Park,Linear,1.94555062,Not Eligible,N/A - CDOT (2008),N/A,NW,1,1,26th Av & Zuni St,356940,2600 N Zuni St,,Denver,CO,,39.75339111,-105.01616663,,"Bike/Pedestrian Path, Benches",ParkArt_Diamond Hill Promenade.pdf,no_imagerec.gif,No,3/28/2024 12:00:00 AM,58a5fd9c-c122-4c6e-b57a-704a7c055b73,84747.8452148438,3557.11616470764
127,Ford Pl,Ford Pl,822,Park,Linear,1.42972008,No,1966,None,SW,3,4,Ford Pl - Irving St To King St,94262,3300 W Ford Pl,,Denver,CO,,39.69870112,-105.03137744,,"Passive Open Space, Benches", ,no_imagerec.gif,Yes,6/21/2019 12:00:00 AM,2ef04841-5a73-4ee7-9886-6cf4cb61ad77,62278.357421875,1848.68486526423
128,Sand Creek (Bulk Fuel Farm),Sand Creek (Bulk Fuel Farm),559,Future,Undeveloped,23.68225325,Yes - 2024,2015,None,NE,8,2,39th Ave & Xanthia St,11304,8601 E 39th Ave,,Denver,CO,,39.7726042,-104.88968119,,Future Trunk Open Space, ,no_imagerec.gif,No,8/24/2016 12:00:00 AM,23e547ec-f918-4466-a0ae-807a4ca9d570,1031594.82617188,4838.89046543622
130,Garfield Lake,Garfield Lake Park,807,Park,Community,29.02660831,Yes - 1956,1949,None,SW,3,4,Lowell Blvd & Mississippi Av,97182,3600 W Mississippi Ave,,Denver,CO,,39.69542307,-105.03556207,PK,"Lake, Benches, Picnic Tables, Outdoor Pool, Bike/Pedestrian Path, Baseball / Softball Field, Basketball Court, Fitness Equipment, Futsol Court, Football Field, Restroom, Playground, Picnic Area, Bike Skills Course",ParkArt_Garfield Lake Park.pdf,garfieldlakepark.jpg,No,3/31/2011 12:00:00 AM,d244c5e0-4079-49d3-8231-158a0d715adb,1264394.00244141,5360.72484812081
132,Washington,Washington Park,711,Park,Regional,157.48343072,Yes - 1956,1898,2011,SW,6,3,Downing St & Louisiana Av,88318,701 S Franklin St,,Denver,CO,,39.70007732,-104.97096087,PK,"Recreation Center, Flower Beds, Picnic Shelter, Benches, Drinking Fountain, Grills, Picnic Tables, Playground, Lake, Restroom, Tennis Court, Basketball Court, Bike/pedestrian Path, Horseshoe Pits, Lawn Bowling, Jogging Path, Picnic Area, Fitness Equipment",ParkArt_Washington Park.pdf,washingtonpark.jpg,Yes,12/23/2008 12:00:00 AM,08728097-c2f6-4e93-a241-978820b46833,6859950.80322266,13678.031427934
133,Derby Canal,Derby Canal,563,Future,Undeveloped,6.55875143,No,2008,N/A,NE,11,5,45th Av & Telluride St,,4500 N Telluride St,,Denver,CO,,39.78017179,-104.78368425,,Future Trail Development, ,no_imagerec.gif,Yes,5/28/2009 12:00:00 AM,d5a60836-7f7d-4b46-995a-16c1339741de,285698.067382813,7424.12142467751
134,Inspiration Point,Inspiration Point Park,005,Park,Community,25.49852412,Yes - 1956,1907,None,NW,1,1,49th Av & Sheridan Blvd,59261,4901 N Sheridan Blvd,,Denver,CO,,39.78662488,-105.0567381,PK,"Picnic Tables, Benches, Bike/Pedestrian Path, Flower Beds, Natural Areas, Scenic Overlook",ParkArt_Inspiration Point Park.pdf,inspirationpointpark.jpg,Yes,8/11/2009 12:00:00 AM,8a0f2310-1e68-4008-beb2-35862b65c723,1110711.27197266,5739.28861429599
136,46th & Pecos,Unnamed 46th & Pecos Park,025,Park,Neighborhood,3.49012303,Yes - 2015,1948,None,NW,1,1,46th Av & Pecos St,366280,4601 N Pecos St,,Denver,CO,,39.78080377,-105.00722351,PK,"Football Field, Baseball / Softball Field ",ParkArt_Unnamed 46th and Pecos Park.pdf,46thpecospark.jpg,No,2/26/2009 12:00:00 AM,e433cce7-9a72-471a-b475-b231630b592a,152029.150390625,1560.78298018408
137,Maestas,Maestas (Eddie) Park,311,Park,Special Use,0.3703031,Yes - 1956,1913,None,Downtown,9,6,Broadway & Lawrence,54847,2300 Lawrence St,,Denver,CO,,39.75507421,-104.98766365,PK,"Benches, Public Art, Community Garden",ParkArt_Eddie Maestas Park.pdf,no_imagerec.gif,No,10/3/2017 12:00:00 AM,76be5a2d-157d-4823-b2b2-dc9c02baf06c,16130.3369140625,537.973731618285
138,Martinez,Martinez (Joseph P) Park,029,Park,Neighborhood,12.16368736,Yes - 1956 / 2020,1956,2021,NW,3,1,9th Av & Tennyson St,,900 N Raleigh St,,Denver,CO,,39.73071477,-105.04208879,PK,"Picnic Tables, Playground, Basketball Court, Baseball / Softball Field, Bike/Pedestrian Path, Lakewood Gulch Trail",ParkArt_Martinez (Joseph P) Park.pdf,martinezpark.jpg,Yes,4/14/2017 12:00:00 AM,d685927b-86c4-4556-b05b-ecf8588534cc,529848.104492188,4734.11577770299
140,Golden Key,Golden Key Park,607,Park,Neighborhood,2.83247521,Yes - 2007,1967,None,E,4,3,Syracuse Way & Xeric Ct,,2900 S Syracuse Way,,Denver,CO,,39.66314864,-104.88675532,PK,"Picnic Tables, Playground, Basketball Court, Bike/pedestrian Path, Benches",ParkArt_Golden Key Park.pdf,goldenkeypark.jpg,Yes,1/9/2009 12:00:00 AM,af643a51-faa8-422d-9c20-c972040a48da,123382.125976563,1949.63236724881
141,Mount Judge,Mount Judge Tract,M35,Conservation Tract,Mountain,349.22562613,Yes,1938,2008,MP,None,None,,,,,,CO,,39.66387618,-105.45254668,CA,Conservation Area.  No Public Access., ,no_imagerec.gif,,5/24/2010 12:00:00 AM,84c1b8ed-d119-4497-b968-db90c378a1d8,15212207.4257813,18190.4957587118
142,Garland,Garland (David T) Park,728,Park,Community,50.33103396,Yes - 1956,1955,None,E,6,3,Holly St & Mississippi Av,139068,6300 E Mississippi Ave,,Denver,CO,,39.69538814,-104.91688166,PK,"Lake, Benches, Flower Beds, Drinking Fountain, Picnic Tables, Playground, Restroom, Baseball / Softball Field, Basketball Court, Bike/Pedestrian Path, Football Field, Sand Volleyball Court, Tennis Court, Picnic Area",ParkArt_Garland (David T) Park.pdf,garlandpark.jpg,No,12/12/2008 12:00:00 AM,727778a4-a33c-49ff-b71a-9c6a8ff3fe3f,2192411.07128906,8631.89021047229
143,Harvard Gulch West,Harvard Gulch West,145,Park,Linear,12.02616945,Partial,1970,2010,SW,2,4,Decatur St & Vassar Av,118037,2525 S Decatur St,,Denver,CO,,39.67056947,-105.02134404,PK,"Recreation Center, Baseball / Softball Field, Playground, Benches, Picnic Tables, Bike/Pedestrian Path, West Harvard Gulch Trail, Basketball Court",ParkArt_Harvard Gulch West Park.pdf,harvardgulchwestpark.jpg,Yes,6/25/2009 12:00:00 AM,b62e61bb-cee6-4fc7-81a2-11f3c95b8d98,523857.844726563,7419.03195970396
144,Ruby Hill,Ruby Hill Park,827,Park,Regional,81.94128919,Yes - 2013,1954,2008,SW,7,4,Florida Av & Platte River Dr,248356,1200 W Florida Ave,,Denver,CO,,39.68601431,-105.00390376,PK,"Picnic Shelter, Picnic Tables, Benches, Playground, Outdoor Pool, Restroom, Baseball / Softball Field, Bike/Pedestrian Path, Natural Areas, Drinking Fountain, Flower Beds, Pavilion, Picnic Area, Bike Skills Course",ParkArt_Ruby Hill Park.pdf,rubyhillpark.jpg,No,5/28/2009 12:00:00 AM,d277326d-1b04-440c-a8e0-1b36c2818954,3569348.28564453,7953.72298466913
145,Byers & Pecos,Unnamed Byers & Pecos Park,831,Park,Pocket,0.99197316,Yes,1966,None,SW,3,4,Byers Pl & Pecos St,366374,1400 W Byers Pl,,Denver,CO,,39.71189448,-105.00701228,PK,"Benches, Playground, Basketball Court, Picnic Tables",ParkArt_Unnamed Byers and Pecos Park.pdf,byerspecospark.jpg,Yes,7/17/2009 12:00:00 AM,3d35fa6c-9a4d-43d3-b538-e567d8b79d17,43210.1787109375,952.384220337672
147,Hentzell,Hentzell (Paul A) Park,603,Open Space,Open Space,59.24963652,Yes - 1983 / 2013,1975,None,E,4,3,Yale Av & Geneva St,147238,10300 E Yale Ave,,Denver,CO,,39.66332109,-104.87117455,PK,"Bike/Pedestrian Path, Cherry Creek Trail, Open Space, Natural Areas",ParkArt_Hentzell (Paul A) Park.pdf,hentzellpark.jpg,No,6/12/2009 12:00:00 AM,ba9fe580-67c9-49ec-9879-0a0ad89f6acb,2580903.84765625,15983.6759581885
148,Platt,Platt (James H) Park,824,Park,Neighborhood,3.72643282,Yes - 1956,1894,2002,SW,7,4,Iowa Av & Logan St,165158,1500 S Grant St,,Denver,CO,,39.68848321,-104.98340258,PK,"Recreation Center, Library, Flemming Mansion (Special Use), Drinking Fountain, Benches, Picnic Tables, Playground, Basketball Court, Horseshoe Pits",ParkArt_Platt (James H) Park.pdf,plattpark.jpg,Yes,6/25/2009 12:00:00 AM,8ed81ca7-6ba6-41f2-b1e7-fddb0bee1dcb,162322.764160156,1747.02285614356
149,Athmar,Athmar Park,802,Park,Neighborhood,3.29294144,Yes,1977,None,SW,7,4,Clay St & Mexico Av,102036,2680 W Mexico Ave,,Denver,CO,,39.6851676,-105.01972179,PK,"Recreation Center, Picnic Tables, Horseshoe Pits, Baseball / Softball Field",ParkArt_Athmar Park.pdf,athmarpark.jpg,Yes,6/25/2009 12:00:00 AM,e71ea67e-7df9-4153-916f-50b4a01e7d06,143439.956542969,1557.48975116065
